Road_ID,UNIT_ID,Transect_ID,Point_ID,Year,Date,Species_Alpha_Code,Time_Interval,Sighting_angle,Exact_Distance,Distance_category,Flyover2,Sex,Detection_Type,Group size,Notes,Identity
COUN,04,10,10,2019,19-May-2019,AMGP,4,349,144,NA,N,U,VA,2,,COUN-04-10-10-2019
COUN,04,10,10,2019,19-May-2019,AMGP,9,75,245,NA,N,U,A,1,,COUN-04-10-10-2019
COUN,04,10,10,2019,19-May-2019,AMPI,4,-999,-999,101,N,U,A,1,,COUN-04-10-10-2019
COUN,04,10,10,2019,19-May-2019,AMRO,7,213,250,NA,N,U,A,1,,COUN-04-10-10-2019
COUN,04,10,10,2019,19-May-2019,AMRO,8,-999,-999,NA,Y,U,V,1,,COUN-04-10-10-2019
COUN,04,10,10,2019,19-May-2019,FOSP,1,-999,-999,1,N,U,A,1,,COUN-04-10-10-2019
COUN,04,10,10,2019,19-May-2019,FOSP,1,-999,-999,1,N,U,A,1,,COUN-04-10-10-2019
COUN,04,10,10,2019,19-May-2019,GCSP,0,-999,-999,1,N,U,V,1,,COUN-04-10-10-2019
COUN,04,10,10,2019,19-May-2019,GCSP,1,-999,-999,1,N,U,VA,2,,COUN-04-10-10-2019
COUN,04,10,10,2019,19-May-2019,GCSP,6,-999,-999,201,N,U,A,1,,COUN-04-10-10-2019
COUN,04,10,10,2019,19-May-2019,NOHA,3,-999,-999,NA,Y,M,V,1,,COUN-04-10-10-2019
COUN,04,10,10,2019,19-May-2019,SAVS,0,-999,-999,1,N,U,A,1,,COUN-04-10-10-2019
COUN,04,10,10,2019,19-May-2019,SAVS,2,-999,-999,101,N,U,A,1,,COUN-04-10-10-2019
COUN,04,10,10,2019,19-May-2019,SAVS,2,-999,-999,1,N,U,A,1,,COUN-04-10-10-2019
COUN,04,10,10,2019,19-May-2019,WISN,1,-999,-999,NA,Y,U,A,1,,COUN-04-10-10-2019
COUN,04,10,10,2019,19-May-2019,WISN,5,-999,-999,NA,Y,U,A,1,,COUN-04-10-10-2019
COUN,02,17,10,2019,11-Jun-2019,GCSP,0,-999,-999,1,N,U,A,2,,COUN-02-17-10-2019
TELL,02,22,10,2019,29-May-2019,AMPI,1,-999,-999,NA,N,U,A,1,,TELL-02-22-10-2019
TELL,01,03,11,2019,19-Jun-2019,ARWA,1,-999,-999,101,N,U,A,1,,TELL-01-03-11-2019
TELL,01,03,11,2019,19-Jun-2019,ATSP,6,-999,-999,1,N,U,A,1,,TELL-01-03-11-2019
TELL,01,03,11,2019,19-Jun-2019,CANG,7,-999,-999,NA,Y,U,A,1,,TELL-01-03-11-2019
TELL,01,03,11,2019,19-Jun-2019,CORE,0,-999,-999,NA,Y,U,A,1,,TELL-01-03-11-2019
TELL,01,03,11,2019,19-Jun-2019,FOSP,0,-999,-999,1,N,U,A,1,,TELL-01-03-11-2019
TELL,01,03,11,2019,19-Jun-2019,GCSP,3,-999,-999,101,N,U,A,1,,TELL-01-03-11-2019
TELL,01,03,11,2019,19-Jun-2019,LALO,0,-999,-999,101,N,U,A,2,,TELL-01-03-11-2019
