"","id","year","species","time_int","distance","dist_cat","flyover","count","display"
"1","COUN_4_10_10",2019,"AMGP","4","144",NA,"N","2","NA"
"2","COUN_4_10_10",2019,"AMGP","9","245",NA,"N","1","NA"
"3","COUN_4_10_10",2019,"AMPI","4","NA",101,"N","1","NA"
"4","COUN_4_10_10",2019,"AMRO","7","250",NA,"N","1","NA"
"5","COUN_4_10_10",2019,"FOSP","1","NA",1,"N","1","NA"
"6","COUN_4_10_10",2019,"FOSP","1","NA",1,"N","1","NA"
"7","COUN_4_10_10",2019,"GCSP","0","NA",1,"N","1","NA"
"8","COUN_4_10_10",2019,"GCSP","1","NA",1,"N","2","NA"
"9","COUN_4_10_10",2019,"SAVS","0","NA",1,"N","1","NA"
"10","COUN_4_10_10",2019,"SAVS","2","NA",101,"N","1","NA"
"11","COUN_4_10_10",2019,"SAVS","2","NA",1,"N","1","NA"
"12","COUN_2_17_10",2019,"GCSP","0","NA",1,"N","2","NA"
"13","TELL_1_3_11",2019,"ARWA","1","NA",101,"N","1","NA"
"14","TELL_1_3_11",2019,"ATSP","6","NA",1,"N","1","NA"
"15","TELL_1_3_11",2019,"FOSP","0","NA",1,"N","1","NA"
"16","TELL_1_3_11",2019,"GCSP","3","NA",101,"N","1","NA"
"17","TELL_1_3_11",2019,"LALO","0","NA",101,"N","2","NA"
"18","TELL_1_3_11",2019,"LALO","9","NA",1,"N","1","NA"
"19","TELL_1_3_11",2019,"WIWA","0","NA",101,"N","1","NA"
"20","TELL_1_3_11",2019,"WIWA","1","150",NA,"N","1","NA"
"21","TELL_4_4_14",2019,"LALO","1","NA",101,"N","1","NA"
"22","TELL_4_4_14",2019,"WHIM","0","200",NA,"N","1","NA"
"23","TELL_4_4_14",2019,"WHIM","3","300",NA,"N","1","NA"
"24","TELL_4_4_14",2019,"WIPT","0","103",NA,"N","1","NA"
"25","TELL_4_4_14",2019,"WIPT","6","190",NA,"N","1","NA"
"26","TELL_1_3_16",2019,"LALO","0","NA",1,"N","2","NA"
"27","TELL_1_3_16",2019,"LALO","1","NA",1,"N","3","NA"
"28","TELL_1_3_16",2019,"LALO","7","NA",1,"N","1","NA"
"29","TELL_1_3_16",2019,"SAVS","2","NA",101,"N","1","NA"
"30","TELL_1_3_16",2019,"SAVS","6","NA",1,"N","1","NA"
"31","TELL_1_3_17",2019,"FOSP","0","NA",1,"N","1","NA"
"32","TELL_1_3_17",2019,"GCSP","0","NA",1,"N","1","NA"
"33","TELL_1_3_17",2019,"GCSP","3","NA",1,"N","1","NA"
"34","TELL_1_3_17",2019,"GCSP","7","NA",1,"N","1","NA"
"35","TELL_1_3_17",2019,"LALO","0","NA",1,"N","1","NA"
"36","TELL_1_3_17",2019,"SAVS","0","NA",1,"N","1","NA"
"37","TELL_1_3_17",2019,"SAVS","4","NA",1,"N","1","NA"
"38","KOUG_4_19_19",2019,"SONG","9","NA",101,"N","1","NA"
"39","TELL_1_3_20",2019,"ATSP","0","NA",1,"N","2","NA"
"40","TELL_1_3_20",2019,"ATSP","2","NA",101,"N","1","NA"
"41","TELL_1_3_20",2019,"FOSP","3","NA",1,"N","1","NA"
"42","TELL_1_3_20",2019,"LALO","7","NA",101,"N","1","NA"
"43","TELL_1_3_20",2019,"LALO","8","NA",1,"N","1","NA"
"44","TELL_1_3_20",2019,"SAVS","0","NA",1,"N","1","NA"
"45","TELL_1_3_21",2019,"GCSP","0","NA",101,"N","1","NA"
"46","TELL_1_3_21",2019,"LALO","2","NA",1,"N","1","NA"
"47","TELL_1_3_21",2019,"LALO","5","NA",101,"N","1","NA"
"48","TELL_1_3_21",2019,"SAVS","0","NA",1,"N","2","NA"
