 "STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-01-01","0.14",,"23","-4"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-01-02","0.12",,"33","22"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-01-03","0.00",,"38","30"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-01-04","0.00",,"43","28"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-01-05","0.00",,"28","14"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-01-06","0.05",,"30","5"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-01-07","0.00",,"39","22"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-01-08","0.00",,"33","16"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-01-09","0.42",,"33","9"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-01-10","0.08",,"39","25"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-01-11","0.00",,"26","6"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-01-12","0.00",,"18","1"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-01-13","0.07",,"8","-2"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-01-14","0.04",,"17","5"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-01-15","0.00",,"25","8"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-01-16","0.00",,"32","10"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-01-17","0.00",,"27","11"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-01-18","0.00",,"23","7"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-01-19","0.00",,"44","14"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-01-20","0.34",,"41","30"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-01-21","0.90",,"46","36"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-01-22","0.00",,"42","27"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-01-23","0.00",,"34","21"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-01-24","0.00",,"45","26"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-01-25","1.35",,"47","32"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-01-26","0.00",,"41","24"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-01-27","0.00",,"34","18"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-01-28","0.39",,"26","12"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-01-29","0.00",,"29","7"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-01-30","0.00",,"32","15"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-01-31","0.00",,"33","11"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-02-01","0.25",,"35","28"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-02-02","0.04",,"33","13"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-02-03","0.00",,"20","7"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-02-04","0.00",,"37","11"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-02-05","0.00",,"41","28"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-02-06","0.00",,"41","27"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-02-07","0.35",,"34","29"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-02-08","0.11",,"32","21"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-02-09","0.00",,"23","5"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-02-10","0.00",,"22","-3"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-02-11","0.00",,"26","-3"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-02-12","0.00",,"36","0"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-02-13","0.00",,"42","11"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-02-14","0.00",,"36","20"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-02-15","0.00",,"37","14"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-02-16","0.74",,"24","16"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-02-17","0.00",,"29","2"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-02-18","0.00",,"38","5"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-02-19","0.21",,"25","8"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-02-20","0.00",,"32","23"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-02-21","0.00",,"37","17"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-02-22","0.00",,"25","12"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-02-23","0.00",,"37","7"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-02-24","0.00",,"37","13"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-02-25","0.00",,"30","5"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-02-26","0.00",,"38","16"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-02-27","0.00",,"21","4"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-02-28","0.00",,"35","-3"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-02-29","0.00",,"37","22"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-03-01","0.00",,"43","21"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-03-02","0.00",,"51","31"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-03-03","0.00",,"60","25"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-03-04","0.00",,"53","30"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-03-05","0.84",,"51","36"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-03-06","0.00",,"43","27"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-03-07","0.00",,"44","20"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-03-08","0.00",,"42","33"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-03-09","0.26",,"33","22"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-03-10","0.24",,"22","15"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-03-11","0.51",,"28","12"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-03-12","0.02",,"33","12"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-03-13","0.00",,"36","18"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-03-14","0.00",,"39","16"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-03-15","0.00",,"45","34"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-03-16","0.00",,"35","18"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-03-17","0.02",,"29","11"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-03-18","0.00",,"36","18"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-03-19","0.00",,"34","19"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-03-20","0.00",,"43","29"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-03-21","0.00",,"39","22"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-03-22","0.00",,"35","27"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-03-23","0.00",,"40","26"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-03-24","0.00",,"42","19"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-03-25","0.00",,"54","29"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-03-26","0.61",,"35","31"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-03-27","0.00",,"37","27"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-03-28","0.00",,"41","22"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-03-29","0.48",,"34","30"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-03-30","0.00",,"39","22"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-03-31","0.00",,"32","17"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-04-01","0.00",,"33","15"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-04-02","0.09",,"39","15"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-04-03","0.51",,"34","30"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-04-04","0.03",,"32","18"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-04-05","0.00",,"45","18"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-04-06","0.10",,"47","20"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-04-07","0.35",,"48","32"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-04-08","0.24",,"50","37"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-04-09","0.02",,"43","36"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-04-10","0.00",,"55","35"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-04-11","0.00",,"55","34"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-04-12","0.00",,"63","29"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-04-13","0.00",,"60","33"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-04-14","0.96",,"49","40"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-04-15","0.47",,"50","44"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-04-16","0.03",,"56","38"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-04-17","0.00",,"61","32"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-04-18","0.01",,"71","38"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-04-19","0.00",,"54","38"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-04-20","0.00",,"46","32"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-04-21","0.00",,"58","29"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-04-22","0.28",,"52","33"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-04-23","0.12",,"41","33"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-04-24","0.00",,"44","37"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-04-25","0.00",,"50","36"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-04-26","0.00",,"62","39"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-04-27","0.00",,"75","37"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-04-28","0.00",,"63","37"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-04-29","0.00",,"62","32"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-04-30","0.00",,"71","28"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-05-01","0.00",,"63","36"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-05-02","0.00",,"68","34"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-05-03","0.00",,"75","34"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-05-04","0.00",,"78","35"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-05-05","0.00",,"69","38"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-05-06","0.00",,"68","38"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-05-07","0.00",,"81","42"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-05-08","0.03",,"83","59"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-05-09","0.24",,"59","38"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-05-10","0.01",,"65","42"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-05-11","0.00",,"66","49"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-05-12","0.00",,"73","48"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-05-13","0.00",,"65","47"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-05-14","0.65",,"50","47"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-05-15","0.00",,"66","40"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-05-16","0.00",,"75","41"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-05-17","0.32",,"74","51"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-05-18","0.00",,"70","51"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-05-19","0.17",,"63","48"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-05-20","0.05",,"60","40"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-05-21","0.00",,"63","35"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-05-22","0.00",,"75","44"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-05-23","0.00",,"88","58"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-05-24","0.00",,"90","55"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-05-25","0.02",,"79","49"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-05-26","0.01",,"73","46"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-05-27","0.09",,"71","49"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-05-28","0.00",,"55","43"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-05-29","0.00",,"59","41"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-05-30","0.00",,"66","40"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-05-31","0.00",,"70","43"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-06-01","0.00",,"70","45"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-06-02","0.00",,"68","45"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-06-03","0.00",,"71","45"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-06-04","0.20",,"61","47"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-06-05","0.00",,"64","45"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-06-06","0.00",,"71","41"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-06-07","0.00",,"76","52"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-06-08","0.00",,"69","52"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-06-09","0.00",,"67","51"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-06-10","0.00",,"71","52"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-06-11","0.00",,"75","52"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-06-12","0.00",,"83","57"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-06-13","0.00",,"79","56"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-06-14","0.00",,"79","56"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-06-15","0.23",,"79","54"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-06-16","0.15",,"58","48"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-06-17","0.00",,"66","50"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-06-18","0.00",,"78","53"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-06-19","0.00",,"80","53"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-06-20","0.06",,"86","61"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-06-21","0.00",,"86","63"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-06-22","0.00",,"85","59"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-06-23","0.00",,"84","55"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-06-24","0.24",,"83","58"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-06-25","0.00",,"75","56"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-06-26","0.00",,"78","52"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-06-27","0.36",,"77","57"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-06-28","0.00",,"78","49"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-06-29","0.00",,"84","55"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-06-30","0.52",,"85","58"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-07-01","0.38",,"86","58"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-07-02","0.04",,"84","62"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-07-03","0.38",,"76","59"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-07-04","0.53",,"79","61"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-07-05","0.00",,"80","59"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-07-06","0.29",,"67","58"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-07-07","0.10",,"74","57"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-07-08","0.01",,"77","57"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-07-09","0.00",,"77","58"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-07-10","0.03",,"65","57"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-07-11","0.34",,"79","56"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-07-12","0.00",,"79","60"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-07-13","0.01",,"70","59"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-07-14","0.31",,"67","59"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-07-15","0.00",,"85","62"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-07-16","0.00",,"84","63"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-07-17","0.00",,"88","65"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-07-18","0.00",,"93","61"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-07-19","0.25",,"85","62"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-07-20","0.00",,"76","55"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-07-21","0.12",,"74","55"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-07-22","1.82",,"85","64"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-07-23","0.00",,"70","59"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-07-24","0.00",,"73","55"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-07-25","0.00",,"68","50"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-07-26","0.00",,"78","59"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-07-27","0.00",,"87","59"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-07-28","0.00",,"90","64"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-07-29","0.01",,"82","66"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-07-30","0.00",,"76","54"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-07-31","0.00",,"72","51"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-08-01","0.00",,"80","52"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-08-02","0.25",,"65","54"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-08-03","0.00",,"68","53"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-08-04","0.00",,"75","49"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-08-05","0.00",,"68","50"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-08-06","0.00",,"68","53"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-08-07","0.00",,"75","51"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-08-08","0.01",,"67","55"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-08-09","0.00",,"61","49"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-08-10","0.00",,"72","46"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-08-11","0.00",,"76","52"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-08-12","0.41",,"66","61"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-08-13","0.00",,"72","51"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-08-14","0.00",,"64","47"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-08-15","0.08",,"65","47"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-08-16","0.00",,"76","47"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-08-17","0.22",,"73","54"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-08-18","0.02",,"73","58"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-08-19","0.06",,"70","54"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-08-20","0.00",,"71","51"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-08-21","0.00",,"71","51"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-08-22","0.50",,"58","51"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-08-23","1.36",,"58","52"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-08-24","0.00",,"79","55"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-08-25","0.00",,"78","56"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-08-26","0.27",,"71","57"
"USW00014605","AUGUSTA STATE AIRPORT, ME US","1964-08-27","0.00",,"76","53"
