"","ROAD_ID","UNIT_ID","TRANSECT_ID","POINT_ID","PRIM_OBS","SEC_OBS","SURVEY_DATE","START_TIME","TEMP_F","TEMP_C","SKY","WIND","WIND_DIRECTION","HEARING","NOISE_DISTANCE_m","NOISE_DIRECTION","WAYPOINT","GPS_NAME","UTM1","UTM2","ELEVATION","pct_BG","pct_T","pct_LS","pct_TS","NOTES"
"1","KOUG","K4","T25",19,"KW","MG","5-May-21","5:52",21,NA,"0",3,"N",0,NA,NA,1,3,489936,7184190,NA,"10","35","55","0","Ground covered in snow"
"2","KOUG","K4","T25",23,"KW","MG","5-May-21","6:34",20.5,NA,"0",4,"N",0,NA,NA,2,3,489431,7184820,NA,"0","60","40","0","Ground covered in snow"
"3","KOUG","K4","T25",20,"KW","MG","5-May-21","7:10",23,NA,"0",1,"N",0,NA,NA,3,3,488866,7184259,NA,"0","55","45","0","Ground covered in snow; in a small drainage/creek"
"4","KOUG","K4","T25",24,"KW","MG","5-May-21","7:42",31,NA,"0",1,"N",0,NA,NA,4,3,488363,7184890,NA,"0","90","10","0","Ground covered in snow"
"5","KOUG","K4","T25",21,"KW","MG","5-May-21","8:20",36.7,NA,"0",1,"N",0,NA,NA,5,3,487797,7184330,NA,"0","100","0","0","Ground covered in snow"
"6","KOUG","K4","T25",12,"KW","MG","5-May-21","9:02",44,NA,"0",0,NA,0,NA,NA,6,3,487736,7183134,NA,"60","40","0","0",""
"7","KOUG","K4","T25",7,"KW","MG","5-May-21","10:01",44,NA,"0",0,NA,0,NA,NA,7,3,488238,7182504,NA,"0","95","5","0","Ground entirely covered in snow. Not sure whats underneath!"
"8","KOUG","K4","T25",2,"KW","MG","5-May-21","10:30",40,NA,"0",3,"NNW",0,NA,NA,8,3,488740,7181872,NA,"15","55","30","0",""
"9","KOUG","K4","T25",6,"KW","MG","5-May-21","11:01",33,NA,"0",7.5,"N",1,NA,NA,9,3,489305,7182433,NA,"0","15","70","15",""
"10","KOUG","K4","T25",10,"KW","MG","5-May-21","11:30",29,NA,"0",4,"N",0,NA,NA,10,3,489869,7182992,NA,"0","25","75","0",""
"11","KOUG","K4","T25",14,"KW","MG","5-May-21","11:57",33,NA,"0",4,"N",0,NA,NA,11,3,490437,7183554,NA,"0","20","80","0",""
"12","KOUG","K4","T25",18,"KW","MG","5-May-21","12:37",43,NA,"0",2,"N",0,NA,NA,12,3,490998,7184120,NA,"0","90","0","10"," "
"13","COUN","C4","T21",1,"KW","MG","6-May-21","5:35",34,NA,"2",0,NA,0,NA,NA,25,3,500263,7145872,NA,"80","0","0","20","ON ROAD RIGHT BY COAST SO LOTS OF SEA ICE"
"14","COUN","C4","T21",3,"KW","MG","6-May-21","6:05",36,NA,"2",0,NA,0,NA,NA,13,3,500839,7146419,NA,"15","0","0","85",""
"15","COUN","C4","T21",4,"KW","MG","6-May-21","6:50",32.5,NA,"1",5,"E",1,NA,NA,14,3,499769,7146490,NA,"0","100","0","0",""
"16","COUN","C4","T21",9,"KW","MG","6-May-21","7:22",31,NA,"1",6.5,"E",1,NA,NA,15,3,499263,7147129,NA,"0","100","0","0","ALL COVERED IN SNOW"
"17","COUN","C4","T21",13,"KW","MG","6-May-21","7:48",32.5,NA,"1",5,"E",1,NA,NA,16,3,499829,7147676,NA,"0","100","0","0","COVERED IN SNOW"
"18","COUN","C4","T21",16,"KW","MG","6-May-21","8:13",32,NA,"1",2,"E",0,NA,NA,17,3,500393,7148238,NA,"0","100","0","0","COVERED IN SNOW"
"19","COUN","C4","T21",19,"KW","MG","6-May-21","8:41",34,NA,"1",3,"E",0,NA,NA,18,3,499888,7148866,NA,"0","100","0","0",""
