"","road","unit","transect","point","year","date","species","time_int","distance","dist_cat","flyover","count","id"
"1","COUN",4,10,10,2019,"19-May-2019","AMGP",4,"144",NA,"N","2","COUN_4_10_10"
"2","COUN",4,10,10,2019,"19-May-2019","AMGP",9,"245",NA,"N","1","COUN_4_10_10"
"3","COUN",4,10,10,2019,"19-May-2019","AMPI",4,"NA",101,"N","1","COUN_4_10_10"
"4","COUN",4,10,10,2019,"19-May-2019","AMRO",7,"250",NA,"N","1","COUN_4_10_10"
"5","COUN",4,10,10,2019,"19-May-2019","FOSP",1,"NA",1,"N","1","COUN_4_10_10"
"6","COUN",4,10,10,2019,"19-May-2019","FOSP",1,"NA",1,"N","1","COUN_4_10_10"
"7","COUN",4,10,10,2019,"19-May-2019","GCSP",0,"NA",1,"N","1","COUN_4_10_10"
"8","COUN",4,10,10,2019,"19-May-2019","GCSP",1,"NA",1,"N","2","COUN_4_10_10"
"9","COUN",4,10,10,2019,"19-May-2019","SAVS",0,"NA",1,"N","1","COUN_4_10_10"
"10","COUN",4,10,10,2019,"19-May-2019","SAVS",2,"NA",101,"N","1","COUN_4_10_10"
"11","COUN",4,10,10,2019,"19-May-2019","SAVS",2,"NA",1,"N","1","COUN_4_10_10"
"12","COUN",2,17,10,2019,"11-Jun-2019","GCSP",0,"NA",1,"N","2","COUN_2_17_10"
"13","TELL",1,3,11,2019,"19-Jun-2019","ARWA",1,"NA",101,"N","1","TELL_1_3_11"
"14","TELL",1,3,11,2019,"19-Jun-2019","ATSP",6,"NA",1,"N","1","TELL_1_3_11"
"15","TELL",1,3,11,2019,"19-Jun-2019","FOSP",0,"NA",1,"N","1","TELL_1_3_11"
"16","TELL",1,3,11,2019,"19-Jun-2019","GCSP",3,"NA",101,"N","1","TELL_1_3_11"
"17","TELL",1,3,11,2019,"19-Jun-2019","LALO",0,"NA",101,"N","2","TELL_1_3_11"
"18","TELL",1,3,11,2019,"19-Jun-2019","LALO",9,"NA",1,"N","1","TELL_1_3_11"
"19","TELL",1,3,11,2019,"19-Jun-2019","WIWA",0,"NA",101,"N","1","TELL_1_3_11"
"20","TELL",1,3,11,2019,"19-Jun-2019","WIWA",1,"150",NA,"N","1","TELL_1_3_11"
"21","TELL",4,4,14,2019,"14-May-2019","LALO",1,"NA",101,"N","1","TELL_4_4_14"
"22","TELL",4,4,14,2019,"14-May-2019","WHIM",0,"200",NA,"N","1","TELL_4_4_14"
"23","TELL",4,4,14,2019,"14-May-2019","WHIM",3,"300",NA,"N","1","TELL_4_4_14"
"24","TELL",4,4,14,2019,"14-May-2019","WIPT",0,"103",NA,"N","1","TELL_4_4_14"
"25","TELL",4,4,14,2019,"14-May-2019","WIPT",6,"190",NA,"N","1","TELL_4_4_14"
"26","TELL",1,3,16,2019,"19-Jun-2019","LALO",0,"NA",1,"N","2","TELL_1_3_16"
"27","TELL",1,3,16,2019,"19-Jun-2019","LALO",1,"NA",1,"N","3","TELL_1_3_16"
"28","TELL",1,3,16,2019,"19-Jun-2019","LALO",7,"NA",1,"N","1","TELL_1_3_16"
"29","TELL",1,3,16,2019,"19-Jun-2019","SAVS",2,"NA",101,"N","1","TELL_1_3_16"
"30","TELL",1,3,16,2019,"19-Jun-2019","SAVS",6,"NA",1,"N","1","TELL_1_3_16"
"31","TELL",1,3,17,2019,"19-Jun-2019","FOSP",0,"NA",1,"N","1","TELL_1_3_17"
"32","TELL",1,3,17,2019,"19-Jun-2019","GCSP",0,"NA",1,"N","1","TELL_1_3_17"
"33","TELL",1,3,17,2019,"19-Jun-2019","GCSP",3,"NA",1,"N","1","TELL_1_3_17"
"34","TELL",1,3,17,2019,"19-Jun-2019","GCSP",7,"NA",1,"N","1","TELL_1_3_17"
"35","TELL",1,3,17,2019,"19-Jun-2019","LALO",0,"NA",1,"N","1","TELL_1_3_17"
"36","TELL",1,3,17,2019,"19-Jun-2019","SAVS",0,"NA",1,"N","1","TELL_1_3_17"
"37","TELL",1,3,17,2019,"19-Jun-2019","SAVS",4,"NA",1,"N","1","TELL_1_3_17"
"38","KOUG",4,19,19,2019,"10-May-2019","SONG",9,"NA",101,"N","1","KOUG_4_19_19"
"39","TELL",1,3,20,2019,"19-Jun-2019","ATSP",0,"NA",1,"N","2","TELL_1_3_20"
"40","TELL",1,3,20,2019,"19-Jun-2019","ATSP",2,"NA",101,"N","1","TELL_1_3_20"
"41","TELL",1,3,20,2019,"19-Jun-2019","FOSP",3,"NA",1,"N","1","TELL_1_3_20"
"42","TELL",1,3,20,2019,"19-Jun-2019","LALO",7,"NA",101,"N","1","TELL_1_3_20"
"43","TELL",1,3,20,2019,"19-Jun-2019","LALO",8,"NA",1,"N","1","TELL_1_3_20"
"44","TELL",1,3,20,2019,"19-Jun-2019","SAVS",0,"NA",1,"N","1","TELL_1_3_20"
"45","TELL",1,3,21,2019,"19-Jun-2019","GCSP",0,"NA",101,"N","1","TELL_1_3_21"
"46","TELL",1,3,21,2019,"19-Jun-2019","LALO",2,"NA",1,"N","1","TELL_1_3_21"
"47","TELL",1,3,21,2019,"19-Jun-2019","LALO",5,"NA",101,"N","1","TELL_1_3_21"
"48","TELL",1,3,21,2019,"19-Jun-2019","SAVS",0,"NA",1,"N","2","TELL_1_3_21"
