"","road","unit","transect","point","year","date","species","time_int","distance","dist_cat","flyover","display","count","id"
"1","KOUG","K4","T25",23,2021,"5-May-21","WIPT",0,60,NA,"N","",1,"KOUG_K4_T25_23"
"2","KOUG","K4","T25",23,2021,"5-May-21","ATSP",2,NA,1,"N","",1,"KOUG_K4_T25_23"
"3","KOUG","K4","T25",23,2021,"5-May-21","WIPT",2,150,NA,"N","",1,"KOUG_K4_T25_23"
"4","KOUG","K4","T25",23,2021,"5-May-21","ATSP",7,NA,1,"N","",1,"KOUG_K4_T25_23"
"5","KOUG","K4","T25",23,2021,"5-May-21","WIPT",5,100,NA,"N","",1,"KOUG_K4_T25_23"
"6","KOUG","K4","T25",20,2021,"5-May-21","WIPT",0,250,NA,"N","",1,"KOUG_K4_T25_20"
"7","KOUG","K4","T25",20,2021,"5-May-21","WIPT",5,115,NA,"N","",1,"KOUG_K4_T25_20"
"8","KOUG","K4","T25",21,2021,"5-May-21","HOLA",0,NA,1,"N","",1,"KOUG_K4_T25_21"
"9","KOUG","K4","T25",12,2021,"5-May-21","SQUIR",1,400,NA,"N","",1,"KOUG_K4_T25_12"
"10","KOUG","K4","T25",12,2021,"5-May-21","SONG",5,NA,1,"N","",1,"KOUG_K4_T25_12"
"11","KOUG","K4","T25",12,2021,"5-May-21","SQUIR",9,350,NA,"N","",1,"KOUG_K4_T25_12"
"12","KOUG","K4","T25",7,2021,"5-May-21","SONG",6,NA,101,"N","",1,"KOUG_K4_T25_7"
"13","KOUG","K4","T25",2,2021,"5-May-21","ROPT",3,400,NA,"N","",2,"KOUG_K4_T25_2"
"14","KOUG","K4","T25",2,2021,"5-May-21","SQUIR",7,375,NA,"N","",1,"KOUG_K4_T25_2"
"15","KOUG","K4","T25",6,2021,"5-May-21","ATSP",5,NA,101,"N","",1,"KOUG_K4_T25_6"
"16","KOUG","K4","T25",10,2021,"5-May-21","ATSP",9,NA,101,"N","",1,"KOUG_K4_T25_10"
"17","KOUG","K4","T25",14,2021,"5-May-21","ATSP",0,NA,101,"N","",1,"KOUG_K4_T25_14"
"18","KOUG","K4","T25",18,2021,"5-May-21","CORE",0,NA,101,"N","",1,"KOUG_K4_T25_18"
"19","KOUG","K4","T25",18,2021,"5-May-21","SQUIR",8,246,NA,"N","",1,"KOUG_K4_T25_18"
"20","KOUG","K4","T25",18,2021,"5-May-21","SQUIR",9,187,NA,"N","",1,"KOUG_K4_T25_18"
"21","KOUG","K4","T25",18,2021,"5-May-21","ATSP",9,NA,101,"N","",1,"KOUG_K4_T25_18"
"22","COUN","C4","T21",1,2021,"6-May-21","CORE",0,NA,101,"N","",4,"COUN_C4_T21_1"
"23","COUN","C4","T21",3,2021,"6-May-21","CORE",0,NA,1,"N","",2,"COUN_C4_T21_3"
"24","COUN","C4","T21",3,2021,"6-May-21","ATSP",0,NA,1,"N","",1,"COUN_C4_T21_3"
"25","COUN","C4","T21",4,2021,"6-May-21","LALO",0,NA,101,"N","",1,"COUN_C4_T21_4"
