"","Road_ID","UNIT_ID","Transect_ID","Point_ID","Year","Date","Species_Alpha_Code","Time_Interval","Sighting_angle","Exact_Distance","Distance_category","Flyover2","Sex","Detection_Type","Group.size","Notes","Identity"
"1","COUN",4,10,10,2019,"19-May-2019","AMGP",4,"349","144",NA,"N","U","VA","2","","COUN-04-10-10-2019"
"2","COUN",4,10,10,2019,"19-May-2019","AMGP",9,"75","245",NA,"N","U","A","1","","COUN-04-10-10-2019"
"3","COUN",4,10,10,2019,"19-May-2019","AMPI",4,"-999","-999",101,"N","U","A","1","","COUN-04-10-10-2019"
"4","COUN",4,10,10,2019,"19-May-2019","AMRO",7,"213","250",NA,"N","U","A","1","","COUN-04-10-10-2019"
"5","COUN",4,10,10,2019,"19-May-2019","AMRO",8,"-999","-999",NA,"Y","U","V","1","","COUN-04-10-10-2019"
"6","COUN",4,10,10,2019,"19-May-2019","FOSP",1,"-999","-999",1,"N","U","A","1","","COUN-04-10-10-2019"
"7","COUN",4,10,10,2019,"19-May-2019","FOSP",1,"-999","-999",1,"N","U","A","1","","COUN-04-10-10-2019"
"8","COUN",4,10,10,2019,"19-May-2019","GCSP",0,"-999","-999",1,"N","U","V","1","","COUN-04-10-10-2019"
"9","COUN",4,10,10,2019,"19-May-2019","GCSP",1,"-999","-999",1,"N","U","VA","2","","COUN-04-10-10-2019"
"10","COUN",4,10,10,2019,"19-May-2019","GCSP",6,"-999","-999",201,"N","U","A","1","","COUN-04-10-10-2019"
"11","COUN",4,10,10,2019,"19-May-2019","NOHA",3,"-999","-999",NA,"Y","M","V","1","","COUN-04-10-10-2019"
"12","COUN",4,10,10,2019,"19-May-2019","SAVS",0,"-999","-999",1,"N","U","A","1","","COUN-04-10-10-2019"
"13","COUN",4,10,10,2019,"19-May-2019","SAVS",2,"-999","-999",101,"N","U","A","1","","COUN-04-10-10-2019"
"14","COUN",4,10,10,2019,"19-May-2019","SAVS",2,"-999","-999",1,"N","U","A","1","","COUN-04-10-10-2019"
