"","ROAD_ID","UNIT_ID","TRANSECT_ID","POINT_ID","SURVEY_YEAR","SURVEY_DATE","SPECIES_ALPHA_CODE","TIME_INTERVAL","SIGHTING_ANGLE","EXACT_DISTANCE","DISTANCE_CATEGORY","FLYOVER","DISPLAY.USING.AREA","SEX","DETECTION_TYPE","GROUP_SIZE","NOTES"
"1","KOUG","K4","T25",19,2021,"5-May-21","WIPT",3,236,500,NA,"N","","M","A",1,""
"2","KOUG","K4","T25",19,2021,"5-May-21","WIPT",6,285,500,NA,"N","","M","A",1,""
"3","KOUG","K4","T25",19,2021,"5-May-21","AMRO",2,232,NA,201,"N","","U","A",1,""
"4","KOUG","K4","T25",19,2021,"5-May-21","WIPT",7,101,500,NA,"N","","M","A",1,""
"5","KOUG","K4","T25",19,2021,"5-May-21","ROPT",8,51,500,NA,"N","","M","A",1,""
"6","KOUG","K4","T25",23,2021,"5-May-21","WIPT",0,176,60,NA,"N","","M","A",1,""
"7","KOUG","K4","T25",23,2021,"5-May-21","ATSP",2,NA,NA,1,"N","","U","A",1,""
"8","KOUG","K4","T25",23,2021,"5-May-21","WIPT",2,32,150,NA,"N","","M","A",1,""
"9","KOUG","K4","T25",23,2021,"5-May-21","ATSP",7,NA,NA,1,"N","","U","A",1,""
"10","KOUG","K4","T25",23,2021,"5-May-21","WIPT",5,25,100,NA,"N","","M","A",1,""
"11","KOUG","K4","T25",20,2021,"5-May-21","WIPT",0,4,250,NA,"N","","M","A",1,""
"12","KOUG","K4","T25",20,2021,"5-May-21","WIPT",5,322,115,NA,"N","","M","A",1,""
"13","KOUG","K4","T25",24,2021,"5-May-21","SONG",1,NA,NA,NA,"Y","","U","A",1,""
"14","KOUG","K4","T25",24,2021,"5-May-21","CORE",5,NA,NA,NA,"Y","","U","A",1,""
"15","KOUG","K4","T25",21,2021,"5-May-21","HOLA",0,NA,NA,NA,"Y","","U","V",1,"Really pale bird"
"16","KOUG","K4","T25",21,2021,"5-May-21","HOLA",0,NA,NA,1,"N","","U","A",1,""
"17","KOUG","K4","T25",12,2021,"5-May-21","SQUIR",1,131,400,NA,"N","","U","V",1,""
"18","KOUG","K4","T25",12,2021,"5-May-21","AMPI",3,NA,NA,NA,"Y","","U","A",1,""
"19","KOUG","K4","T25",12,2021,"5-May-21","SONG",5,NA,NA,1,"N","","U","A",1,"Landed behind a rock on top of ridge we were standing"
"20","KOUG","K4","T25",12,2021,"5-May-21","HOLA",6,NA,NA,NA,"Y","","U","V",1,""
"21","KOUG","K4","T25",12,2021,"5-May-21","SQUIR",9,149,350,NA,"N","","U","V",1,""
"22","KOUG","K4","T25",12,2021,"5-May-21","SONG",9,149,NA,201,"Y","","U","V",1,""
"23","KOUG","K4","T25",12,2021,"5-May-21","SNBU",9,NA,NA,NA,"Y","","U","V",4,""
"24","KOUG","K4","T25",7,2021,"5-May-21","SONG",6,NA,NA,101,"N","","U","A",1,"Possibly a shrike mimicing?"
"25","KOUG","K4","T25",7,2021,"5-May-21","CORA",8,NA,NA,NA,"Y","","U","V",1,""
"26","KOUG","K4","T25",2,2021,"5-May-21","ROPT",3,249,400,NA,"N","","MF","V",2,"Male and female together"
"27","KOUG","K4","T25",2,2021,"5-May-21","SQUIR",7,268,375,NA,"N","","U","V",1,""
"28","KOUG","K4","T25",6,2021,"5-May-21","NOHA",1,NA,NA,NA,"Y","","F","V",1,"Hunting on road; female by color- pale bird"
"29","KOUG","K4","T25",6,2021,"5-May-21","ATSP",5,NA,NA,101,"N","","U","A",1,""
"30","KOUG","K4","T25",6,2021,"5-May-21","ATSP",6,NA,NA,201,"N","","U","A",1,""
"31","KOUG","K4","T25",10,2021,"5-May-21","SACR",2,NA,NA,NA,"Y","","U","V",45,""
"32","KOUG","K4","T25",10,2021,"5-May-21","GULL",3,NA,NA,NA,"Y","","U","V",4,""
"33","KOUG","K4","T25",10,2021,"5-May-21","CORA",4,NA,NA,NA,"Y","","U","V",1,""
"34","KOUG","K4","T25",10,2021,"5-May-21","ATSP",9,NA,NA,101,"N","","U","A",1,""
"35","KOUG","K4","T25",14,2021,"5-May-21","ATSP",0,NA,NA,101,"N","","U","A",1,""
"36","KOUG","K4","T25",14,2021,"5-May-21","SONG",8,NA,NA,NA,"Y","","U","V",1,""
"37","KOUG","K4","T25",14,2021,"5-May-21","CORE",8,NA,NA,NA,"Y","","U","AV",1,""
"38","KOUG","K4","T25",18,2021,"5-May-21","CORE",0,NA,NA,101,"N","","U","A",1,""
"39","KOUG","K4","T25",18,2021,"5-May-21","SQUIR",3,90,1001,NA,"N","","U","V",4,""
"40","KOUG","K4","T25",18,2021,"5-May-21","SQUIR",5,104,1001,NA,"N","","U","V",2,""
"41","KOUG","K4","T25",18,2021,"5-May-21","SQUIR",6,149,1001,NA,"N","","U","V",1,""
"42","KOUG","K4","T25",18,2021,"5-May-21","SQUIR",8,7,246,NA,"N","","U","AV",1,""
"43","KOUG","K4","T25",18,2021,"5-May-21","SQUIR",9,45,187,NA,"N","","U","AV",1,""
"44","KOUG","K4","T25",18,2021,"5-May-21","ATSP",9,NA,NA,101,"N","","U","A",1,""
"45","KOUG","K4","T25",18,2021,"5-May-21","SQUIR",9,165,1001,NA,"N","","U","V",1,""
"46","COUN","C4","T21",1,2021,"6-May-21","CORE",0,NA,NA,101,"N","","U","AV",4,""
"47","COUN","C4","T21",1,2021,"6-May-21","GLGU",1,NA,NA,NA,"Y","","U","V",3,""
"48","COUN","C4","T21",1,2021,"6-May-21","REDFOX",6,NA,NA,NA,"N","","U","V",2,"2 RED FOXES PLAYING ON THE SEA ICE!"
"49","COUN","C4","T21",1,2021,"6-May-21","GLGU",7,NA,NA,NA,"Y","","U","V",5,""
"50","COUN","C4","T21",1,2021,"6-May-21","GLGU",9,NA,NA,NA,"Y","","U","V",4,""
"51","COUN","C4","T21",3,2021,"6-May-21","CORE",0,NA,NA,1,"N","","U","AV",2,""
"52","COUN","C4","T21",3,2021,"6-May-21","ATSP",0,NA,NA,1,"N","","U","A",1,""
"53","COUN","C4","T21",3,2021,"6-May-21","CORE",0,NA,NA,NA,"Y","","U","AV",4,""
"54","COUN","C4","T21",3,2021,"6-May-21","GLGU",1,NA,NA,NA,"Y","","U","AV",1,""
"55","COUN","C4","T21",3,2021,"6-May-21","GLGU",8,NA,NA,NA,"Y","","U","V",3,""
"56","COUN","C4","T21",4,2021,"6-May-21","GULL",0,NA,NA,NA,"Y","","U","A",1,""
"57","COUN","C4","T21",4,2021,"6-May-21","LALO",0,NA,NA,101,"N","","U","A",1,""
"58","COUN","C4","T21",4,2021,"6-May-21","SONG",5,NA,NA,NA,"Y","","U","AV",1,""
"59","COUN","C4","T21",9,2021,"6-May-21","ROPT",9,242,200,NA,"N","","M","A",1,"SAW WIPT WHILE WALKING TO POINT"
"60","COUN","C4","T21",9,2021,"6-May-21","WIPT",9,NA,NA,NA,"N","","M","A",2,""
"61","COUN","C4","T21",13,2021,"6-May-21","SONG",0,NA,NA,NA,"Y","","U","V",1,""
"62","COUN","C4","T21",13,2021,"6-May-21","FULL",1,NA,NA,NA,"Y","","U","V",1,""
"63","COUN","C4","T21",13,2021,"6-May-21","SONG",4,NA,NA,NA,"Y","","U","V",1,""
"64","COUN","C4","T21",13,2021,"6-May-21","WIPT",8,286,400,NA,"N","","M","A",1,""
"65","COUN","C4","T21",16,2021,"6-May-21","WIPT",2,50,350,NA,"N","","M","A",1,""
"66","COUN","C4","T21",16,2021,"6-May-21","SONG",1,NA,NA,NA,"Y","","U","A",1,"POSSIBLY LALO"
"67","COUN","C4","T21",16,2021,"6-May-21","WIPT",4,289,350,NA,"N","","M","A",1,""
"68","COUN","C4","T21",16,2021,"6-May-21","LALO",9,NA,NA,201,"N","","M","A",1,""
"69","COUN","C4","T21",19,2021,"6-May-21","GULL",0,NA,NA,NA,"Y","","U","V",1,""
"70","COUN","C4","T21",19,2021,"6-May-21","WIPT",1,9,350,NA,"N","","M","A",1,""
"71","COUN","C4","T21",19,2021,"6-May-21","WIPT",5,346,500,NA,"N","","M","V",1,""
"72","COUN","C4","T21",19,2021,"6-May-21","WIPT",8,250,450,NA,"N","","MF","V",2,""
"73","COUN","C4","T21",19,2021,"6-May-21","WIPT",9,270,600,NA,"N","","F","V",1,""
"74","COUN","C4","T21",21,2021,"6-May-21","ATSP",1,NA,NA,1,"N","","U","V",3,""
"75","COUN","C4","T21",21,2021,"6-May-21","CORE",1,NA,NA,NA,"Y","","U","AV",1,""
"76","COUN","C4","T21",21,2021,"6-May-21","WIPT",4,152,217,NA,"N","","MF","V",2,""
"77","COUN","C4","T21",22,2021,"6-May-21","LALO",0,NA,NA,201,"N","","U","A",1,""
"78","COUN","C4","T21",22,2021,"6-May-21","WIPT",0,87,150,NA,"N","","M","AV",1,""
"79","COUN","C4","T21",22,2021,"6-May-21","WIPT",3,145,250,NA,"N","","M","A",1,""
"80","COUN","C4","T21",22,2021,"6-May-21","WIPT",5,34,282,NA,"N","","M","V",1,""
"81","COUN","C4","T21",22,2021,"6-May-21","CORA",6,NA,NA,NA,"Y","","U","AV",1,""
"82","COUN","C4","T21",22,2021,"6-May-21","SONG",8,NA,NA,NA,"Y","","U","V",5,""
"83","COUN","C4","T21",20,2021,"6-May-21","WIPT",1,157,400,NA,"N","","F","V",1,""
"84","COUN","C4","T21",20,2021,"6-May-21","WIPT",2,213,220,NA,"N","","M","V",1,""
"85","COUN","C4","T21",20,2021,"6-May-21","WIPT",1,327,200,NA,"N","","M","A",1,""
"86","COUN","C4","T21",20,2021,"6-May-21","WIPT",4,79,230,NA,"N","","M","AV",1,""
"87","COUN","C4","T21",18,2021,"6-May-21","WIPT",1,88,200,NA,"N","","M","A",1,""
"88","COUN","C4","T21",18,2021,"6-May-21","ATSP",1,NA,NA,101,"N","","U","A",1,""
"89","COUN","C4","T21",18,2021,"6-May-21","WIPT",3,320,200,NA,"N","","M","A",1,""
"90","COUN","C4","T21",18,2021,"6-May-21","WIPT",8,NA,NA,NA,"Y","","M","V",1,""
"91","COUN","C4","T21",15,2021,"6-May-21","NSHR",1,8,250,NA,"N","","U","V",1,""
"92","COUN","C4","T21",15,2021,"6-May-21","WIPT",1,329,180,NA,"N","","M","A",1,""
"93","COUN","C4","T21",15,2021,"6-May-21","CORE",0,NA,NA,NA,"Y","","U","AV",1,""
"94","COUN","C4","T21",15,2021,"6-May-21","WIPT",2,39,145,NA,"N","","F","V",1,""
"95","COUN","C4","T21",15,2021,"6-May-21","WIPT",5,64,160,NA,"N","","M","A",1,""
"96","COUN","C4","T21",12,2021,"6-May-21","LALO",0,NA,NA,NA,"Y","","U","AV",5,""
"97","COUN","C4","T21",12,2021,"6-May-21","SACR",4,98,1001,NA,"N","","U","AV",2,""
"98","COUN","C4","T21",12,2021,"6-May-21","WIPT",6,355,250,NA,"N","","M","A",1,""
"99","TELL","T5","T3",7,2021,"7-May-21","ATSP",0,NA,NA,1,"N","","U","A",1,""
"100","TELL","T5","T3",7,2021,"7-May-21","AMRO",0,165,NA,101,"N","","U","A",1,""
"101","TELL","T5","T3",7,2021,"7-May-21","WIPT",4,46,250,NA,"N","","M","A",1,""
"102","TELL","T5","T3",7,2021,"7-May-21","WIPT",6,144,150,NA,"N","","M","A",1,""
"103","TELL","T5","T3",7,2021,"7-May-21","WISN",8,NA,NA,NA,"Y","","U","A",1,""
"104","TELL","T5","T3",7,2021,"7-May-21","SONG",9,NA,NA,NA,"Y","","U","V",1,""
"105","TELL","T5","T3",11,2021,"7-May-21","ATSP",0,NA,NA,1,"N","","U","AV",1,""
"106","TELL","T5","T3",11,2021,"7-May-21","WIPT",0,322,100,NA,"N","","M","A",1,"4 MOOSE WEST ACROSS THE PENNY!"
"107","TELL","T5","T3",11,2021,"7-May-21","ATSP",4,NA,NA,101,"N","","U","A",1,"AND A HERD OF MUSK OXEN AS WELL! WILDLIFE STEAL!"
"108","TELL","T5","T3",11,2021,"7-May-21","SONG",5,NA,NA,NA,"Y","","U","V",1,""
"109","TELL","T5","T3",14,2021,"7-May-21","ATSP",1,NA,NA,101,"N","","U","A",1,""
"110","TELL","T5","T3",14,2021,"7-May-21","GULL",1,NA,NA,NA,"Y","","U","A",1,""
"111","TELL","T5","T3",14,2021,"7-May-21","GCSP",3,NA,NA,101,"N","","U","A",1,""
"112","TELL","T5","T3",18,2021,"7-May-21","ATSP",0,NA,NA,1,"N","","U","AV",1,""
"113","TELL","T5","T3",18,2021,"7-May-21","AMPI",1,NA,NA,101,"N","","U","AV",1,""
"114","TELL","T5","T3",18,2021,"7-May-21","AMPI",3,NA,NA,1,"N","","U","AV",1,""
"115","TELL","T5","T3",18,2021,"7-May-21","AMRO",7,338,NA,201,"N","","U","A",1,""
"116","TELL","T5","T3",18,2021,"7-May-21","WIPT",9,82,175,NA,"N","","M","AV",1,""
"117","TELL","T5","T3",2,2021,"7-May-21","CORE",1,NA,NA,NA,"Y","","U","A",1,""
"118","TELL","T5","T3",2,2021,"7-May-21","GULL",3,NA,NA,NA,"Y","","U","V",1,""
"119","TELL","T5","T3",2,2021,"7-May-21","SACR",4,NA,NA,NA,"Y","","U","AV",200,"LOW FLY BY"
"120","TELL","T5","T3",25,2021,"7-May-21","AMPI",3,NA,NA,NA,"Y","","U","A",1,""
"121","TELL","T5","T3",29,2021,"7-May-21","AMPI",1,NA,NA,NA,"Y","","U","A",1,""
"122","TELL","T5","T3",29,2021,"7-May-21","HOLA",2,NA,NA,1,"N","","U","AV",1,""
"123","TELL","T5","T3",19,2021,"7-May-21","ATSP",0,NA,NA,1,"N","","U","A",1,""
"124","TELL","T5","T3",19,2021,"7-May-21","CORE",4,NA,NA,NA,"Y","","U","A",1,""
"125","TELL","T5","T3",19,2021,"7-May-21","ATSP",9,NA,NA,101,"N","","U","A",1,""
"126","TELL","T5","T3",19,2021,"7-May-21","SONG",9,NA,NA,101,"N","","U","A",1,""
"127","COUN","C3","T14",4,2021,"8-May-21","ATSP",0,NA,NA,101,"N","","U","A",1,""
"128","COUN","C3","T14",4,2021,"8-May-21","ATSP",0,NA,NA,101,"N","","U","A",1,""
"129","COUN","C3","T14",4,2021,"8-May-21","GCSP",1,NA,NA,1,"N","","U","AV",1,""
"130","COUN","C3","T14",4,2021,"8-May-21","AMRO",4,338,200,NA,"N","","U","A",1,""
"131","COUN","C3","T14",4,2021,"8-May-21","WCSP",6,NA,NA,101,"N","","U","A",1,""
"132","COUN","C3","T14",4,2021,"8-May-21","GULL",7,NA,NA,NA,"Y","","U","V",1,""
"133","COUN","C3","T14",4,2021,"8-May-21","SONG",7,NA,NA,NA,"Y","","U","AV",1,"3 note call, but not 100% to call it LALO or SNBU"
"134","COUN","C3","T14",4,2021,"8-May-21","SONG",9,NA,NA,NA,"Y","","U","AV",1,"Kinda buzzy"
"135","COUN","C3","T14",6,2021,"8-May-21","SONG",0,NA,NA,NA,"Y","","U","V",5,""
"136","COUN","C3","T14",6,2021,"8-May-21","ATSP",2,NA,NA,101,"N","","U","A",1,""
"137","COUN","C3","T14",6,2021,"8-May-21","LALO",7,NA,NA,1,"N","","U","A",1,""
"138","COUN","C3","T14",6,2021,"8-May-21","GLGU",8,NA,NA,NA,"Y","","U","AV",8,""
"139","COUN","C3","T14",9,2021,"8-May-21","SHORE",0,NA,NA,NA,"Y","","U","V",1,""
"140","COUN","C3","T14",9,2021,"8-May-21","SONG",0,NA,NA,NA,"Y","","U","V",1,""
"141","COUN","C3","T14",9,2021,"8-May-21","AMPI",1,NA,NA,NA,"Y","","U","A",1,""
"142","COUN","C3","T14",9,2021,"8-May-21","LALO",2,NA,NA,NA,"Y","","U","AV",3,""
"143","COUN","C3","T14",9,2021,"8-May-21","LALO",2,NA,NA,101,"N","","U","A",2,""
"144","COUN","C3","T14",9,2021,"8-May-21","LALO",3,NA,NA,101,"N","","U","A",1,""
"145","COUN","C3","T14",9,2021,"8-May-21","SONG",5,NA,NA,NA,"Y","","U","V",7,""
"146","COUN","C3","T14",9,2021,"8-May-21","CORE",6,NA,NA,NA,"Y","","U","AV",1,""
"147","COUN","C3","T14",12,2021,"8-May-21","WISN",0,334,400,NA,"N","","U","A",1,""
"148","COUN","C3","T14",12,2021,"8-May-21","WISN",1,NA,NA,NA,"Y","","U","A",1,""
"149","COUN","C3","T14",12,2021,"8-May-21","LALO",3,NA,NA,101,"N","","U","A",1,""
"150","COUN","C3","T14",12,2021,"8-May-21","GCSP",4,NA,NA,201,"N","","U","A",1,""
"151","COUN","C3","T14",12,2021,"8-May-21","LALO",5,NA,NA,101,"N","","U","A",1,""
"152","COUN","C3","T14",12,2021,"8-May-21","LALO",5,NA,NA,1,"N","","U","A",1,""
"153","COUN","C3","T14",12,2021,"8-May-21","GYRF",7,NA,NA,NA,"Y","","U","AV",1,"Above E Fork Bridge nest, most likely male,? Flying and soaring away from nest. After survey saw a second, darker GYRF fly from direction of nest up the ravine away from nest"
"154","COUN","C3","T14",13,2021,"8-May-21","SONG",0,NA,NA,NA,"Y","","U","V",1,""
"155","COUN","C3","T14",13,2021,"8-May-21","SONG",1,NA,NA,1,"N","","U","A",1,""
"156","COUN","C3","T14",13,2021,"8-May-21","AMRO",1,290,313,NA,"N","","U","A",1,""
"157","COUN","C3","T14",13,2021,"8-May-21","ATSP",2,NA,NA,1,"N","","U","A",1,""
"158","COUN","C3","T14",13,2021,"8-May-21","ATSP",3,NA,NA,1,"N","","U","A",1,""
"159","COUN","C3","T14",13,2021,"8-May-21","LALO",3,NA,NA,1,"N","","U","A",1,""
"160","COUN","C3","T14",13,2021,"8-May-21","ATSP",5,NA,NA,101,"N","","U","A",1,""
"161","COUN","C3","T14",13,2021,"8-May-21","ATSP",8,NA,NA,101,"N","","U","A",1,""
"162","COUN","C3","T14",13,2021,"8-May-21","YRWA",8,NA,NA,101,"N","","U","A",1,""
"163","COUN","C3","T14",2,2021,"8-May-21","ATSP",1,NA,NA,1,"N","","U","AV",5,""
"164","COUN","C3","T14",2,2021,"8-May-21","NSHR",2,222,166,NA,"N","","U","V",1,""
"165","COUN","C3","T14",2,2021,"8-May-21","AMPI",4,NA,NA,1,"N","","U","AV",1,""
"166","COUN","C3","T14",2,2021,"8-May-21","CORE",7,NA,NA,NA,"Y","","U","AV",2,""
"167","COUN","C3","T14",3,2021,"8-May-21","AMPI",0,NA,NA,NA,"Y","","U","A",1,""
"168","COUN","C3","T14",3,2021,"8-May-21","SONG",4,NA,NA,NA,"Y","","U","V",1,""
"169","COUN","C3","T14",3,2021,"8-May-21","AMPI",7,NA,NA,101,"N","","U","A",1,""
"170","COUN","C3","T14",5,2021,"8-May-21","AMPI",1,NA,NA,NA,"Y","","U","AV",1,""
"171","COUN","C3","T14",5,2021,"8-May-21","AMPI",3,NA,NA,1,"N","","U","A",1,""
"172","KOUG","K4","T28",5,2021,"9-May-21","GCSP",0,NA,NA,1,"N","","U","A",1,""
"173","KOUG","K4","T28",5,2021,"9-May-21","ATSP",0,NA,NA,1,"N","","U","A",1,""
"174","KOUG","K4","T28",5,2021,"9-May-21","GCSP",0,NA,NA,1,"N","","U","A",1,""
"175","KOUG","K4","T28",5,2021,"9-May-21","WCSP",0,NA,NA,101,"N","","U","A",1,""
"176","KOUG","K4","T28",5,2021,"9-May-21","ATSP",0,NA,NA,1,"N","","U","AV",1,""
"177","KOUG","K4","T28",5,2021,"9-May-21","WIPT",0,333,220,NA,"N","","M","A",1,""
"178","KOUG","K4","T28",5,2021,"9-May-21","WIPT",1,292,290,NA,"N","","M","A",1,""
"179","KOUG","K4","T28",5,2021,"9-May-21","CORE",1,NA,NA,NA,"Y","","U","A",2,""
"180","KOUG","K4","T28",5,2021,"9-May-21","GCSP",3,NA,NA,201,"N","","U","A",1,""
"181","KOUG","K4","T28",5,2021,"9-May-21","WIPT",4,215,350,NA,"N","","M","A",1,""
"182","KOUG","K4","T28",5,2021,"9-May-21","WIPT",5,251,244,NA,"N","","M","A",1,""
"183","KOUG","K4","T28",4,2021,"9-May-21","AMRO",0,299,120,NA,"N","","U","A",1,""
