date,sunrise
1-May-19,6:31:00
2-May-19,6:27:00
3-May-19,6:24:00
4-May-19,6:20:00
5-May-19,6:17:00
6-May-19,6:13:00
7-May-19,6:10:00
8-May-19,6:06:00
9-May-19,6:03:00
10-May-19,5:59:00
11-May-19,5:56:00
12-May-19,5:52:00
13-May-19,5:49:00
14-May-19,5:46:00
15-May-19,5:42:00
16-May-19,5:39:00
17-May-19,5:36:00
18-May-19,5:32:00
19-May-19,5:29:00
20-May-19,5:26:00
21-May-19,5:23:00
22-May-19,5:19:00
23-May-19,5:16:00
24-May-19,5:13:00
25-May-19,5:10:00
26-May-19,5:07:00
27-May-19,5:04:00
28-May-19,5:01:00
29-May-19,4:58:00
30-May-19,4:55:00
31-May-19,4:52:00
1-Jun-19,4:50:00
2-Jun-19,4:47:00
3-Jun-19,4:44:00
4-Jun-19,4:42:00
5-Jun-19,4:39:00
6-Jun-19,4:37:00
7-Jun-19,4:35:00
8-Jun-19,4:33:00
9-Jun-19,4:31:00
10-Jun-19,4:29:00
11-Jun-19,4:27:00
12-Jun-19,4:25:00
13-Jun-19,4:24:00
14-Jun-19,4:23:00
15-Jun-19,4:22:00
16-Jun-19,4:21:00
17-Jun-19,4:20:00
18-Jun-19,4:19:00
19-Jun-19,4:19:00
20-Jun-19,4:19:00
21-Jun-19,4:19:00
22-Jun-19,4:19:00
23-Jun-19,4:20:00
24-Jun-19,4:21:00
25-Jun-19,4:21:00
26-Jun-19,4:23:00
27-Jun-19,4:24:00
28-Jun-19,4:25:00
29-Jun-19,4:27:00
30-Jun-19,4:29:00
1-Jul-19,4:31:00
2-Jul-19,4:33:00
3-Jul-19,4:35:00
4-Jul-19,4:37:00
5-Jul-19,4:40:00
6-Jul-19,4:42:00
7-Jul-19,4:45:00
8-Jul-19,4:48:00
9-Jul-19,4:51:00
10-Jul-19,4:54:00
11-Jul-19,4:56:00
12-Jul-19,4:59:00
13-Jul-19,5:03:00
14-Jul-19,5:06:00
15-Jul-19,5:09:00
16-Jul-19,5:12:00
17-Jul-19,5:15:00
18-Jul-19,5:18:00
19-Jul-19,5:22:00
20-Jul-19,5:25:00
21-Jul-19,5:28:00
22-Jul-19,5:31:00
23-Jul-19,5:35:00
24-Jul-19,5:38:00
25-Jul-19,5:41:00
26-Jul-19,5:45:00
27-Jul-19,5:48:00
28-Jul-19,5:51:00
29-Jul-19,5:55:00
30-Jul-19,5:58:00
31-Jul-19,6:01:00
