"","id","UTM1","UTM2","ELEVATION"
"1","KOUG_K4_T25_19",489936,7184190,NA
"2","KOUG_K4_T25_23",489431,7184820,NA
"3","KOUG_K4_T25_20",488866,7184259,NA
"4","KOUG_K4_T25_24",488363,7184890,NA
"5","KOUG_K4_T25_21",487797,7184330,NA
"6","KOUG_K4_T25_12",487736,7183134,NA
"7","KOUG_K4_T25_7",488238,7182504,NA
"8","KOUG_K4_T25_2",488740,7181872,NA
"9","KOUG_K4_T25_6",489305,7182433,NA
"10","KOUG_K4_T25_10",489869,7182992,NA
"11","KOUG_K4_T25_14",490437,7183554,NA
"12","KOUG_K4_T25_18",490998,7184120,NA
"13","COUN_C4_T21_1",500263,7145872,NA
"14","COUN_C4_T21_3",500839,7146419,NA
"15","COUN_C4_T21_4",499769,7146490,NA
"16","COUN_C4_T21_9",499263,7147129,NA
"17","COUN_C4_T21_13",499829,7147676,NA
"18","COUN_C4_T21_16",500393,7148238,NA
"19","COUN_C4_T21_19",499888,7148866,NA
"20","COUN_C4_T21_21",500457,7149424,NA
"21","COUN_C4_T21_22",501020,7149988,NA
"22","COUN_C4_T21_20",501530,7149360,NA
"23","COUN_C4_T21_18",500957,7148804,NA
"24","COUN_C4_T21_15",501466,7148167,NA
"25","COUN_C4_T21_12",500904,7147620,NA
"26","TELL_T5_T3_7",467879,7163512,NA
"27","TELL_T5_T3_11",468484,7164060,NA
"28","TELL_T5_T3_14",469037,7164617,NA
"29","TELL_T5_T3_18",469602,7165177,NA
"30","TELL_T5_T3_13",470106,7164552,NA
"31","TELL_T5_T3_5",470040,7163357,NA
"32","TELL_T5_T3_2",469472,7162794,NA
"33","TELL_T5_T3_25",466965,7165955,NA
"34","TELL_T5_T3_29",467528,7166517,NA
"35","TELL_T5_T3_32",468099,7167071,NA
"36","TELL_T5_T3_19",468536,7165250,NA
"37","COUN_C3_T14_4",533354,7171900,NA
"38","COUN_C3_T14_6",533803,7172418,NA
"39","COUN_C3_T14_9",534379,7172983,NA
"40","COUN_C3_T14_12",534867,7173533,NA
"41","COUN_C3_T14_13",533866,7173617,NA
"42","COUN_C3_T14_2",532126,7170728,NA
"43","COUN_C3_T14_3",532683,7171299,NA
"44","COUN_C3_T14_5",532179,7171929,NA
"45","KOUG_K4_T28_5",490057,7186579,NA
"46","KOUG_K4_T28_4",491124,7186508,NA
"47","KOUG_K4_T28_8",490653,7187125,NA
"48","KOUG_K4_T28_11",490123,7187771,NA
"49","KOUG_K4_T28_9",489554,7187210,NA
"50","KOUG_K4_T17_18",494328,7196498,NA
"51","KOUG_K4_T17_14",494824,7195866,NA
"52","KOUG_K4_T17_11",494266,7195301,NA
"53","KOUG_K4_T17_8",494762,7194669,NA
"54","KOUG_K4_T17_6",494196,7194106,NA
"55","KOUG_K4_T17_4",494700,7193473,NA
"56","KOUG_K4_T17_5",495260,7194039,NA
"57","KOUG_K4_T17_10",495322,7195226,NA
"58","KOUG_K4_T17_13",495899,7195799,NA
"59","KOUG_K4_T17_17",495390,7196428,NA
"60","TELL_T4_T11_16",452460,7184300,NA
"61","TELL_T4_T11_21",453030,7184858,NA
"62","TELL_T4_T11_25",453593,7185405,NA
"63","TELL_T4_T11_30",453100,7186051,NA
"64","TELL_T4_T11_33",453670,7186611,NA
"65","TELL_T4_T11_32",454732,7186541,NA
"66","TELL_T4_T11_28",455232,7185913,NA
"67","TELL_T4_T11_23",455731,7185273,NA
"68","TELL_T4_T11_19",455170,7184712,NA
"69","TELL_T4_T11_14",454596,7184154,NA
"70","TELL_T4_T11_9",454025,7183595,NA
"71","TELL_T4_T11_4",453462,7183035,NA
"72","TELL_T4_T11_10",452964,7183665,NA
"73","KOUG_K4_T28_15",489622,7188407,NA
"74","KOUG_K4_T28_14",490654,7188320,NA
"75","KOUG_K4_T28_18",490182,7188969,NA
"76","KOUG_K4_T28_20",490182,7188969,NA
"77","KOUG_K4_T28_21",491905,7190298,NA
"78","KOUG_K4_T28_19",491835,7189456,NA
"79","KOUG_K4_T28_17",491254,7188898,NA
"80","KOUG_K4_T28_13",491751,7188270,NA
"81","TELL_T4_T14_25",456593,7181622,NA
"82","TELL_T4_T14_30",457161,7182186,NA
"83","TELL_T4_T14_29",458229,7182117,NA
"84","TELL_T4_T14_23",458734,7181478,NA
